R,Z,V_R,V_PHI,V_Z,V_T,a_r,a_phi,a_z,fg_r,fg_z,fr_r,fr_phi,fr_z,f_en,prr_hist,prphi_hist,prz_hist,pphir_hist,pphiphi_hist,pphiz_hist,pzr_hist,pzphi_hist,pzz_hist,rho,xi,fm,tau_dr,tau_uv,tau_x,dv_dr,escaped
1428.3018867924527,1.0,0.0,0.02646000945571073,0.00033356409519815205,0.00033356409519815205,3.136791052343003e-11,-0.0,-4.231016593465484e-11,-4.901845975836177e-07,-3.43193971888134e-10,3.100748880467396e-11,-3.013475288216031e-10,3.0088380595347914e-10,6.301201881938387e-10,2.2940822984446483e-10,-2.8033441459997816e-12,4.361092759561701e-13,-2.8033441459997816e-12,2.0022796084935306e-10,-1.2683240069774321e-10,4.361092759561701e-13,-1.2683240069774321e-10,2.0048449415809374e-10,200000000.0,2.0440159497915217e-18,0.15042148598420715,0.0019646374256828097,2.413168448278482,50,1.5789974994262524e-07,0.0
1428.3018867924527,1.0,0.0,0.02646000945571073,0.00033356409519815205,0.026462111884766614,3.136791052343003e-11,-0.0,-4.231016593465484e-11,-4.901845975836177e-07,-3.43193971888134e-10,3.65974342949567e-11,-3.556736392124017e-10,3.551263176506931e-10,7.437165366926994e-10,2.7076531967301977e-10,-3.3087233808470703e-12,5.147298664773281e-13,-3.3087233808470703e-12,2.3632451139006104e-10,-1.4969739988449494e-10,5.147298664773281e-13,-1.4969739988449494e-10,2.3662729182385386e-10,2521068.107811548,1.6215475841038354e-16,0.15042153019973353,2.4764923786509557e-05,2.3875474844267637,50,1.990381094713249e-09,0.0
1428.3018867924532,1.0000333564095847,3.6116749184019265e-12,0.026460009418520614,0.0003335640958458634,0.026462111847587618,3.611674918401926e-11,-3.7190115088939486e-10,6.47711369415176e-12,-4.901845975595723e-07,-3.432054195899916e-10,4.730355926309618e-11,-4.5970693672025454e-10,4.589995031209108e-10,9.612521430299347e-10,3.4996438053939245e-10,-4.276639051010862e-12,6.653095765858598e-13,-4.276639051010862e-12,3.054485823947028e-10,-1.93483400403894e-10,6.65309576585859e-13,-1.9348340040389403e-10,3.058399377729748e-10,2521068.1112711765,1.6215475818255782e-16,0.48691444525064076,2.4764923820494135e-05,2.3875474844662508,50,1.4122338034775795e-08,0.0
1428.301886792454,1.000066712819145,7.132257500991846e-12,0.026460009382277713,0.00033356409560179716,0.026462111811344523,3.5205825825899194e-11,-3.6242901488819596e-10,-2.4406627473472703e-12,-4.901845975355257e-07,-3.4321686729183884e-10,4.706630508580969e-11,-4.5738671095606195e-10,4.566828256277819e-10,9.56401636712721e-10,3.4819919026924544e-10,-4.2551790546979035e-12,6.619745195557347e-13,-4.2551790546979035e-12,3.0390690377067747e-10,-1.9250688757087015e-10,6.619745195557347e-13,-1.9250688757087015e-10,3.0429629656178385e-10,2521068.1146416375,1.6215475796046702e-16,0.47940835512829577,2.4764923853602806e-05,2.387547484505729,50,1.376092366957244e-08,0.0
1428.3018867924561,1.0001334256381849,1.4191191916937358e-11,0.026460009309606583,0.00033356409528511493,0.026462111738675173,3.511136436711172e-11,-3.6145093067128554e-10,-3.3842296640066616e-12,-4.901845974874301e-07,-3.432397626955005e-10,4.704489445598662e-11,-4.571495902219365e-10,4.5644602530033546e-10,9.559080343661647e-10,3.4802096299349585e-10,-4.253222931064688e-12,6.616771202909874e-13,-4.253222931064688e-12,3.0374930434282725e-10,-1.9240715434832075e-10,6.616771202909812e-13,-1.924071543483207e-10,3.04138520608383e-10,2521068.121399999,1.621547575151632e-16,0.47863867743835725,2.4764923919991456e-05,2.38754748458469,50,1.3724076847157369e-08,0.0
1428.3018867924675,1.0002668512757655,2.8239286721515694e-11,0.0264600091649855,0.0003335640939515608,0.026462111594048772,3.512023701144584e-11,-3.6155270894019064e-10,-3.3338852685347678e-12,-4.901845973912239e-07,-3.432855535026268e-10,4.705360213641347e-11,-4.5717609827426556e-10,4.564724034913211e-10,9.559679040011162e-10,3.4804571938745964e-10,-4.253969305897754e-12,6.618070398343156e-13,-4.253969305897754e-12,3.037668244472869e-10,-1.9241844547303794e-10,6.618070398343157e-13,-1.9241844547303794e-10,3.041561138993331e-10,2521068.1348488024,1.6215475662892028e-16,0.47871898729392365,2.4764924052101565e-05,2.3875474847426195,50,1.3727919749988931e-08,0.0
1428.3018867925125,1.0005337025487155,5.633170125248089e-11,0.026460008875767993,0.0003335640911873769,0.0264621113048194,3.5115518163706496e-11,-3.615218817961341e-10,-3.4552298418657614e-12,-4.901845971987583e-07,-3.433771351160239e-10,4.706515295447345e-11,-4.571721288748129e-10,4.5646826217740793e-10,9.55968485811363e-10,3.480518502659268e-10,-4.254931844551118e-12,6.619844126197339e-13,-4.254931844551118e-12,3.0376400109143114e-10,-1.9241704331076935e-10,6.619844126197214e-13,-1.9241704331076935e-10,3.0415338854068826e-10,2521068.161743968,1.6215475485657795e-16,0.4786952927314199,2.476492431629781e-05,2.387547485058539,50,1.3726786065826971e-08,0.0
1428.3018867926924,1.0010674050853243,1.1251265313269291e-10,0.02646000829731492,0.000333564085380449,0.026462110726339087,3.511309492513251e-11,-3.615331726996467e-10,-3.6293299828120672e-12,-4.901845968136113e-07,-3.4356029833924073e-10,4.709008175815195e-11,-4.5718193762982746e-10,4.564776997571324e-10,9.56006762157306e-10,3.480776253454134e-10,-4.257022039888573e-12,6.623648715015105e-13,-4.257022039888573e-12,3.037701465191153e-10,-1.9242170811532296e-10,6.623648715015105e-13,-1.924217081153229e-10,3.0415974505713193e-10,2521068.215535509,1.621547513117613e-16,0.47870532328862836,2.4764924844702183e-05,2.387547485690626,50,1.3727266335686415e-08,0.0
1428.301886793412,1.0021348101178205,2.2485913407379153e-10,0.026460007140333888,0.00033356407265507006,0.026462109569289568,3.510827529409332e-11,-3.615565722369031e-10,-3.976680922066456e-12,-4.901845960424539e-07,-3.43926624770143e-10,4.713989538150409e-11,-4.5720179346546826e-10,4.5649692147220526e-10,9.56083821612388e-10,3.481293659755167e-10,-4.2612045626018986e-12,6.631262161481859e-13,-4.2612045626018986e-12,3.037825954320056e-10,-1.9243113582758008e-10,6.631262161481985e-13,-1.9243113582758008e-10,3.041726161427825e-10,2521068.3231236837,1.6215474422158323e-16,0.47872621888054395,2.476492590156096e-05,2.387547486955793,50,1.3728266828101656e-08,0.0
1428.301886796289,1.0042696199915355,4.4949218360888283e-10,0.02646000482606087,0.00033356404276795325,0.02646210725482369,3.5098913989858016e-11,-3.616051585597235e-10,-4.6698619967625455e-12,-4.901845944966886e-07,-3.446592775600704e-10,4.7239735278189763e-11,-4.5724210613637637e-10,4.565357474449776e-10,9.562392309011304e-10,3.482333406701276e-10,-4.269574896771051e-12,6.646501674710022e-13,-4.269574896771051e-12,3.0380789140428976e-10,-1.9245023576114002e-10,6.646501674710022e-13,-1.9245023576114002e-10,3.041987636514037e-10,2521068.5383214885,1.6215473003897926e-16,0.4787702044216708,2.4764928015489265e-05,2.3875474894900948,50,1.3730372914324589e-08,0.0
