R,Z,V_R,V_PHI,V_Z,V_T,a_r,a_phi,a_z,fg_r,fg_z,fr_r,fr_phi,fr_z,f_en,prr_hist,prphi_hist,prz_hist,pphir_hist,pphiphi_hist,pphiz_hist,pzr_hist,pzphi_hist,pzz_hist,rho,xi,fm,tau_dr,tau_uv,tau_x,dv_dr,escaped
318.8679245283019,1.0,0.0,0.056000845302157834,0.00033356409519815205,0.00033356409519815205,2.998052210614e-08,-0.0,1.745822997146258e-07,-9.834944716076289e-06,-3.084331774864161e-08,2.9835430402588076e-08,-2.0675749684226855e-07,2.0542561746326743e-07,4.3446114488846875e-07,1.611354037185924e-07,-5.830007728089214e-09,1.3145349432865301e-09,-5.830007728089214e-09,1.3658081227458238e-07,-8.591757598093555e-08,1.3145349432865208e-09,-8.591757598093554e-08,1.367446878540577e-07,200000000.0,150056.04760210036,0.015232216256746589,0.0019646374256828097,0.23353352164464977,0.3485403798461199,0.0005310458568244366,0.0
318.8679245283019,1.0,0.0,0.056000845302157834,0.00033356409519815205,0.056001838715901274,2.998052210614e-08,-0.0,1.745822997146258e-07,-9.834944716076289e-06,-3.084331774864161e-08,3.1081339205633564e-08,-2.1539155983165603e-07,2.1400406200772214e-07,4.526039689635258e-07,1.6786431680167188e-07,-6.073465182941935e-09,1.3694290954958953e-09,-6.073465182941935e-09,1.4228434106715658e-07,-8.950543989999238e-08,1.3694290954958856e-09,-8.950543989999237e-08,1.4245505998773067e-07,1191249.5098232275,25851323.875638135,0.015232216683010856,1.1701866851625073e-05,0.20773990629145897,0.3227467644929291,3.16307169196703e-06,0.0
318.8679245286095,1.000033358233541,3.0758382856483964e-09,0.056000821067675004,0.0003335823354095671,0.05600181459049572,3.075838285648396e-08,-2.423448283089903e-07,1.824021141505997e-07,-9.834944706377263e-06,-3.084434659679042e-08,3.1082870473502845e-08,-2.1539585549798574e-07,2.1400829011747086e-07,4.5261344607490723e-07,1.6786817272953936e-07,-6.073750636582688e-09,1.3695033134115232e-09,-6.073750636582688e-09,1.422871471403506e-07,-8.950724887206933e-08,1.3695033134115182e-09,-8.950724887206933e-08,1.4245787506240675e-07,1191250.0222258114,25851312.7345181,0.01525041423931376,1.170187188505154e-05,0.20773990642609094,0.32274676466529295,5.44398662542975e-06,0.0
318.8679245292246,1.0000667182911036,6.150939488792383e-09,0.05600079683301028,0.00033360057562495214,0.056001790464914505,3.0751012031439864e-08,-2.4234664726814195e-07,1.824021538504768e-07,-9.834944696658417e-06,-3.0845375501104175e-08,3.1083844675010064e-08,-2.1539629038276177e-07,2.140086823116481e-07,4.5261481052999683e-07,1.6786901981565649e-07,-6.073927234912571e-09,1.3695529871863753e-09,-6.073927234912571e-09,1.4228740283867317e-07,-8.950745350355109e-08,1.36955298718638e-09,-8.950745350355112e-08,1.4245813670117444e-07,1191250.5346302076,25851301.59331682,0.015250414299560363,1.1701876918495807e-05,0.20773990656072555,0.32274676483766274,5.444001936486047e-06,0.0
318.86792453120137,1.0001334428359925,1.2299328967885416e-08,0.05600074836328264,0.0003336370560270461,0.05600174221337234,3.073557237121679e-08,-2.423500883763563e-07,1.8240194870427734e-07,-9.834944677172431e-06,-3.084743344613045e-08,3.1085793201030844e-08,-2.1539716013255926e-07,2.140094666810229e-07,4.5261753948684596e-07,1.6787071406962121e-07,-6.07428045260239e-09,1.3696523430394644e-09,-6.07428045260239e-09,1.4228791421682968e-07,-8.950786275578432e-08,1.3696523430394594e-09,-8.950786275578432e-08,1.4245865996508364e-07,1191251.5594426414,25851279.310738575,0.015250414387165121,1.1701886985420118e-05,0.20773990683000235,0.32274676518241857,5.444025478631602e-06,0.0
318.86792453890627,1.000266914192927,2.458697286398282e-08,0.05600065142221636,0.0003337100163435469,0.056001645708748556,3.0705921341804914e-08,-2.423543134883077e-07,1.8239953554579796e-07,-9.834944637958695e-06,-3.085155002183012e-08,3.1089690865959266e-08,-2.15398899561259e-07,2.1401103531976372e-07,4.5262299766723385e-07,1.6787410298628126e-07,-6.074986992170649e-09,1.3698510886452135e-09,-6.074986992170649e-09,1.422889369000667e-07,-8.9508681212859e-08,1.3698510886452135e-09,-8.9508681212859e-08,1.4245970642007282e-07,1191253.6090766895,25851234.744869675,0.015250414298236923,1.1701907119358916e-05,0.2077399073685861,0.3227467658720009,5.4440157017344555e-06,0.0
318.8679245685769,1.0005339416999925,4.9127349751676905e-08,0.056000457533469536,0.00033385593554318815,0.05600145269317606,3.06460392425641e-08,-2.423664099639452e-07,1.8239769729556776e-07,-9.834944558611415e-06,-3.0859785784167526e-08,3.1097488570922005e-08,-2.1540237839741635e-07,2.1401417247663406e-07,4.526339155879729e-07,1.6788088259402404e-07,-6.076400475593319e-09,1.370248713831069e-09,-6.076400475593319e-09,1.4229098215187984e-07,-8.951031804896279e-08,1.3702487138310642e-09,-8.951031804896279e-08,1.4246179923224937e-07,1191257.7083907295,25851145.610205162,0.015250414505006972,1.170194738768783e-05,0.20773990844587503,0.32274676725144325,5.444078947683592e-06,0.0
318.8679246866209,1.0010683466369752,9.806415735187908e-08,0.056000069729855766,0.000334147767003532,0.05600106663706075,3.052597536017212e-08,-2.4238817709111337e-07,1.823918970630288e-07,-9.834944396132017e-06,-3.087626808365389e-08,3.111309373766827e-08,-2.1540933574352909e-07,2.1402044606032856e-07,4.5265575730465524e-07,1.678944488759081e-07,-6.079229106238215e-09,1.3710445132035273e-09,-6.079229106238215e-09,1.4229507202698315e-07,-8.951359131967603e-08,1.3710445132035273e-09,-8.951359131967603e-08,1.4246598429138798e-07,1191265.9071829212,25850967.329321124,0.015250414653745827,1.1702027925957756e-05,0.20773991060093958,0.3227467700114526,5.444148436680677e-06,0.0
318.8679251560005,1.0021385547343595,1.9536267900369703e-07,0.055999294016953735,0.00033473140343613075,0.05600029442376034,3.028594086272939e-08,-2.424322352106474e-07,1.8238080081098745e-07,-9.834944056127253e-06,-3.090927573690199e-08,3.114434308475238e-08,-2.154232493388527e-07,2.14032990530165e-07,4.526994646757914e-07,1.6792160985614837e-07,-6.084893011375768e-09,1.3726383056862869e-09,-6.084893011375768e-09,1.4230324940205057e-07,-8.952013634230461e-08,1.3726383056862869e-09,-8.952013634230462e-08,1.4247435230225676e-07,1191282.3054604311,25850610.72078365,0.015250415023771552,1.170218900930632e-05,0.2077399149130403,0.32274677553599607,5.444303038932346e-06,0.0
318.8679270192328,1.0042845725868152,3.8765570247846376e-07,0.05599774217197767,0.0003358985672258667,0.0559987495963707,2.9805877790824145e-08,-2.425195330829907e-07,1.8235806144987787e-07,-9.834943316461496e-06,-3.097546353224902e-08,3.120699804771507e-08,-2.1545107198446434e-07,2.1405806848151423e-07,4.5278697499145487e-07,1.6797604557952766e-07,-6.096247438547032e-09,1.3758346822029097e-09,-6.096247438547032e-09,1.423195945383794e-07,-8.953322021826647e-08,1.3758346822029197e-09,-8.953322021826647e-08,1.4249107974867757e-07,1191315.1047785184,25849897.31823725,0.01525041573156302,1.1702511203145576e-05,0.20773992354528936,0.3227467866033768,5.444605323307141e-06,0.0
