R,Z,V_R,V_PHI,V_Z,V_T,a_r,a_phi,a_z,fg_r,fg_z,fr_r,fr_phi,fr_z,f_en,prr_hist,prphi_hist,prz_hist,pphir_hist,pphiphi_hist,pphiz_hist,pzr_hist,pzphi_hist,pzz_hist,rho,xi,fm,tau_dr,tau_uv,tau_x,dv_dr,escaped
979.2452830188679,1.0,0.0,0.031956135639492365,0.00033356409519815205,0.00033356409519815205,2.4063445402366664e-10,-0.0,1.1288357379842161e-09,-1.0428367900349493e-06,-1.0649393038892546e-09,2.39003188190283e-10,-2.2010349746413834e-09,2.1937750418734707e-09,4.6065622385963315e-09,1.6839136006984375e-09,-2.608132372387414e-11,4.6157960548155805e-12,-2.608132372387414e-11,1.4610829870710982e-09,-9.234345262989276e-10,4.6157960548157e-12,-9.234345262989276e-10,1.4615636289644666e-09,200000000.0,4.348516112867066e-18,0.9568429569130016,0.0019646374256828097,1.5309352450640843,50,3.4602012045350157e-06,0.0
979.2452830188679,1.0,0.0,0.031956135639492365,0.00033356409519815205,0.03195787649414835,2.4063445402366664e-10,-0.0,1.1288357379842161e-09,-1.0428367900349493e-06,-1.0649393038892546e-09,4.798563818515378e-10,-4.41910707240953e-09,4.404531011324845e-09,9.248781597117734e-09,3.3808615437314875e-09,-5.2364530075108625e-11,9.267320703960623e-12,-5.2364530075108625e-11,2.93347549490672e-09,-1.8540169025435938e-09,9.267320703960862e-12,-1.8540169025435938e-09,2.9344404991046322e-09,2087521.3495874016,4.166200373209643e-16,0.9568435544433883,2.0506112851556486e-05,1.505258025656973,50,3.611625710505571e-08,0.0
979.2452830188726,1.0000333564423487,4.710647654572985e-11,0.03195613517077137,0.00033356442348692186,0.031957876028879444,4.710647654572985e-10,-4.6872099352749815e-09,3.2828876980914124e-09,-1.0428367899261112e-06,-1.0649748263645961e-09,8.580410708777627e-10,-7.901648960164422e-09,7.875585199385152e-09,1.653743772054267e-08,6.045218532939546e-09,-9.363385364586146e-11,1.6571138685389653e-11,-9.363385364586146e-11,5.245243191251252e-09,-3.3151025536613506e-09,1.6571138685389653e-11,-3.315102553661351e-09,5.246968737958166e-09,2087521.3798339933,4.1662003125546897e-16,2.498958673727212,2.0506113148674417e-05,1.505258025713259,50,1.796702760722827e-07,0.0
979.2452830188839,1.0000667129362477,1.1442568618391626e-10,0.03195613450022077,0.0003335649389894635,0.031957875363745995,6.73192096381864e-10,-6.705506019762718e-09,5.155025416171631e-09,-1.0428367898172552e-06,-1.0650103488948023e-09,1.019134430400582e-09,-9.384854335216193e-09,9.353897213766229e-09,1.964167480428657e-08,7.1799797905953665e-09,-1.1121290413851437e-10,1.9682357162982292e-11,-1.1121290413851437e-10,6.229818439524711e-09,-3.9373755844905394e-09,1.968235716298161e-11,-3.9373755844905394e-09,6.231867954060173e-09,2087521.4231359093,4.166200225844323e-16,3.155737594466348,2.050611357403724e-05,1.5052580257712402,50,2.654984964558405e-07,0.0
979.245283018929,1.0001334261021038,2.974779474533865e-10,0.03195613267569888,0.00033356641840729653,0.03195787355476516,1.0868277440612363e-09,-1.0835735218280553e-08,8.986155469228018e-09,-1.0428367895994841e-06,-1.065081394144729e-09,1.2942370141400278e-09,-1.1917432281542203e-08,1.1878118655907728e-08,2.4942194042519176e-08,9.117614018803478e-09,-1.412327113160623e-10,2.499551964374797e-11,-1.412327113160623e-10,7.910983156738467e-09,-4.999909499112147e-09,2.4995519643748e-11,-4.999909499112147e-09,7.913585922603762e-09,2087521.5410097297,4.166199990015869e-16,4.277184437110631,2.0506114731933836e-05,1.5052580258912651,50,4.41799451577113e-07,0.0
979.2452830191367,1.0002668533922716,7.40641890405074e-10,0.03195612825687804,0.00033357009124157684,0.031957869174521175,1.1011713824870184e-09,-1.0980403833849023e-08,9.120192557841451e-09,-1.0428367891636442e-06,-1.0652234856647588e-09,1.303136110473529e-09,-1.1997873815311995e-08,1.1958289837716812e-08,2.5110664874015507e-08,9.179276449051654e-09,-1.4220236040884943e-10,2.516770229019103e-11,-1.4220236040884943e-10,7.96437836366566e-09,-5.033661724726866e-09,2.5167702290190598e-11,-5.033661724726866e-09,7.96699904636947e-09,2087521.8265499328,4.1661994189837426e-16,4.312780450875043,2.0506117536848682e-05,1.5052580261377948,50,4.4797779356151705e-07,0.0
979.2452830201606,1.000533713466109,2.1173235119435266e-09,0.031956114523132746,0.0003335819784210341,0.031957855565602454,1.6436024787510804e-09,-1.640015344319127e-08,1.4147060400952648e-08,-1.0428367882904766e-06,-1.0655076745525255e-09,1.6021946683133801e-09,-1.474759082568211e-08,1.4698922582390352e-08,3.086589853185217e-08,1.1283310468716303e-08,-1.7483299622217358e-10,3.0944248633979664e-11,-1.7483299622217358e-10,9.789676187220757e-09,-6.1873030379016225e-09,3.0944248633980194e-11,-6.1873030379016225e-09,9.792898346343276e-09,2087522.7143325694,4.1661976448520273e-16,5.530322927727864,2.0506126257703653e-05,1.5052580266720235,50,6.796792303271243e-07,0.0
979.2452830257761,1.0010674636696326,5.393264557859336e-09,0.03195608182788566,0.0003336106012043888,0.03195782317091997,2.483893240652967e-09,-2.4794528755503513e-08,2.1933328675077014e-08,-1.0428367865357475e-06,-1.066076084321819e-09,1.9933768439345268e-09,-1.833909297287831e-08,1.8278541978634018e-08,3.838340896746704e-08,1.403188295490059e-08,-2.1751024433218598e-10,3.8501336238674085e-11,-2.1751024433218598e-10,1.217375077626769e-08,-7.69412611817974e-09,3.8501336238674085e-11,-7.69412611817974e-09,1.2177759765034728e-08,2087524.828041754,4.1661934217072795e-16,7.120512410972782,2.0506147021064505e-05,1.5052580277846608,50,1.0387605273192037e-06,0.0
979.2452830516935,1.0021350926638948,1.1137145587397466e-08,0.03195602444672894,0.00033366041409465874,0.03195776631293238,1.7775830313387466e-09,-1.7769268436300402e-08,1.5415260940735778e-08,-1.0428367829918002e-06,-1.067213040740925e-09,1.6732649911287868e-09,-1.5378668855985108e-08,1.532784126295971e-08,3.218845519890914e-08,1.1767983773679455e-08,-1.8256580178886826e-10,3.2321727587075064e-11,-1.8256580178886826e-10,1.0208546540851812e-08,-6.4521205065221975e-09,3.232172758707535e-11,-6.4521205065221975e-09,1.0211911949309905e-08,2087528.5373166557,4.166186009394725e-16,5.8093923158730085,2.0506183457965978e-05,1.5052580299439544,50,7.381941406760662e-07,0.0
979.2452831452573,1.0042707048383244,1.9409269993828073e-08,0.03195594155075615,0.0003337304675299682,0.03195768415296512,9.571309695696036e-10,-9.628631900552596e-09,7.861272666858447e-09,-1.0428367758027116e-06,-1.0694873305929052e-09,1.2240574974639487e-09,-1.1227627420116164e-08,1.1190443682993513e-08,2.3501781995942025e-08,8.593335660476853e-09,-1.335319490987945e-10,2.3649297683743027e-11,-1.335319490987945e-10,7.452987355732659e-09,-4.710600199022785e-09,2.364929768374323e-11,-4.710600199022785e-09,7.455449592266826e-09,2087533.8944139953,4.166175298580247e-16,3.9710227016988746,2.0506236081735612e-05,1.5052580340001587,50,3.9010983383209983e-07,0.0
