R,Z,V_R,V_PHI,V_Z,V_T,a_r,a_phi,a_z,fg_r,fg_z,fr_r,fr_phi,fr_z,f_en,prr_hist,prphi_hist,prz_hist,pphir_hist,pphiphi_hist,pphiz_hist,pzr_hist,pzphi_hist,pzz_hist,rho,xi,fm,tau_dr,tau_uv,tau_x,dv_dr,escaped
688.6792452830189,1.0,0.0,0.03810583675135015,0.00033356409519815205,0.00033356409519815205,1.2777556768578652e-09,-0.0,7.755008848171497e-09,-2.1084564578825534e-06,-3.0615943087061732e-09,1.2710872693004534e-09,-1.086235257424722e-08,1.081660315687767e-08,2.2757993318978134e-08,8.351104291653195e-09,-1.6976763974015996e-10,3.229330395493272e-11,-1.6976763974015996e-10,7.202099764368957e-09,-4.545683747484903e-09,3.229330395493272e-11,-4.545683747484902e-09,7.204970761068487e-09,200000000.0,8.792039035409245e-18,3.0146806869943985,0.0019646374256828097,0.9600785465809549,50,2.356239450955591e-05,1.0
688.6792452830189,1.0,0.0,0.03810583675135015,0.00033356409519815205,0.0381072966704036,1.2777556768578652e-09,-0.0,7.755008848171497e-09,-2.1084564578825534e-06,-3.0615943087061732e-09,5.235971214223595e-09,-4.4745130229183494e-08,4.45566753227424e-08,9.374666931975691e-08,3.440058187518475e-08,-6.993213575928324e-10,1.330253350843944e-10,-6.993213575928324e-10,2.966750431617193e-08,-1.872496863562639e-08,1.330253350843944e-10,-1.8724968635626388e-08,2.9679330770922865e-08,1750653.6597286635,1.0044292869181147e-15,3.014684484708807,1.7196998496557554e-05,0.9343576081627128,50,2.0624839576684358e-07,1.0
688.6792452830704,1.0000333568206332,5.145989335656771e-10,0.038105831922593286,0.00033356820633103295,0.03810729187781788,5.14598933565677e-09,-4.8287568640279434e-08,4.11113288088815e-08,-2.1084564574373576e-06,-3.061696433111681e-09,1.4979522690238912e-08,-1.2800682531441616e-07,1.2746767709900752e-07,2.6819067476893146e-07,9.841346609057272e-08,-2.0006744424331214e-09,3.8057183606845314e-10,-2.0006744424331214e-09,8.487275668822111e-08,-5.356838220135632e-08,3.8057183606845314e-10,-5.356838220135632e-08,8.490659090628887e-08,1750653.879654121,1.0044291605954969e-15,10.48518965253216,1.7197000656926477e-05,0.9343576082569609,50,1.669663269501277e-06,1.0
688.6792452832386,1.0000667146140754,1.6826886280708608e-09,0.03810582095367772,0.00033357793442144354,0.03810728099447768,1.1680896945051837e-08,-1.0968915565465732e-07,9.728090410574122e-08,-2.10845645699142e-06,-3.0617985604938964e-09,2.378164563959953e-08,-2.0321870558925054e-07,2.023627482857784e-07,4.2576965211273753e-07,1.5623792793014776e-07,-3.176283511801714e-09,6.042019638322924e-10,-3.176283511801714e-09,1.3474070213729793e-07,-8.504311626866964e-08,6.042019638322924e-10,-8.504311626866964e-08,1.3479441780114064e-07,1750654.3793891824,1.0044288737332267e-15,17.233419583286118,1.71970055659175e-05,0.9343576083875137,50,3.859558692023088e-06,1.0
688.6792452841129,1.0001334347474018,6.279636136938302e-09,0.03810577777411474,0.000333616822393374,0.038107238157001615,3.0270384746328647e-08,-2.843525412911828e-07,2.5706173124972e-07,-2.1084564560961457e-06,-3.0620028291702307e-09,4.092964223505264e-08,-3.4973007118585146e-07,3.482569171829933e-07,7.32731647798293e-07,2.688800275743455e-07,-5.466547420526569e-09,1.039875375522645e-09,-5.466547420526569e-09,2.3188250811928326e-07,-1.46355357147171e-07,1.039875375522645e-09,-1.46355357147171e-07,2.3197495636120138e-07,1750656.3468546197,1.004427744626224e-15,30.378792230834936,1.719702489269866e-05,0.9343576087742137,50,1.0090395295788976e-05,1.0
688.6792452896825,1.0002669074779256,2.231509835232032e-08,0.03810562712144833,0.0003337534137420331,0.03810708870617829,5.2701069179481215e-08,-4.95157550432952e-07,4.4990565264707847e-07,-2.108456454281589e-06,-3.0624114658617164e-09,5.623676325032612e-08,-4.804650898321587e-07,4.784409965454114e-07,1.0066435493731207e-06,3.6939665861071013e-07,-7.510885071778475e-09,1.4287949175840565e-09,-7.510885071778475e-09,3.18563948492759e-07,-2.0106561669022517e-07,1.4287949175840565e-09,-2.0106561669022514e-07,3.1869097207485424e-07,1750663.2116770425,1.0044238054125555e-15,42.10847794353798,1.7197092327133923e-05,0.9343576099277635,50,1.7610863170294768e-05,1.0
688.6792453253299,1.0005340622182084,6.306126360778116e-08,0.03810524417968798,0.0003341012781017501,0.03810670882747093,6.205603808280082e-08,-5.832779179922465e-07,5.305193259771814e-07,-2.108456450498903e-06,-3.0632293796385458e-09,6.178381982057141e-08,-5.277268608015169e-07,5.255031159086406e-07,1.105673466567924e-06,4.057433856019129e-07,-8.251574165751301e-09,1.5697728557069121e-09,-8.251574165751301e-09,3.4989967376783405e-07,-2.2084411080590713e-07,1.5697728557069121e-09,-2.2084411080590713e-07,3.5003922883260854e-07,1750680.6615593708,1.004413792597885e-15,46.34839457387904,1.7197263740593402e-05,0.9343576127176243,50,2.0754743290071106e-05,1.0
688.6792454964096,1.0010692243414139,1.4831916371134722e-07,0.03810444224945967,0.0003348299775098637,0.038105913324289246,5.807761173938715e-08,-5.464861669548178e-07,4.968578296162562e-07,-2.108456442308292e-06,-3.0648678162760505e-09,5.9551057310256975e-08,-5.084046451238574e-07,5.062612625447731e-07,1.0652090117765564e-06,3.9090753680157725e-07,-7.953055449968417e-09,1.5131358086344172e-09,-7.953055449968417e-09,3.370877306896771e-07,-2.1275875136226162e-07,1.5131358086344172e-09,-2.1275875136226162e-07,3.372222466525136e-07,1750717.2041349544,1.0043928247842815e-15,44.61377050898892,1.7197622705151513e-05,0.9343576185108716,50,1.9442380150865754e-05,1.0
688.6792462158172,1.002142776701695,3.0454843495058854e-07,0.03810296978806223,0.00033616713926342366,0.038104452693986476,4.737387077616424e-08,-4.4712281446641026e-07,4.0594490042064983e-07,-2.1084564235625123e-06,-3.0681545675638103e-09,5.3138345036367766e-08,-4.5320873971735945e-07,4.512961657052216e-07,9.495960870802146e-07,3.4850380409305616e-07,-7.0960625918323355e-09,1.3503505812485552e-09,-7.0960625918323355e-09,3.004899153829341e-07,-1.8966133387223753e-07,1.3503505812485492e-09,-1.8966133387223753e-07,3.006099535755636e-07,1750784.301509198,1.0043543255995679e-15,39.65982636843149,1.7198281815214536e-05,0.9343576293220865,50,1.5897553537960305e-05,1.0
688.6792489182629,1.0043007265456545,5.602749742892486e-07,0.038100547521104026,0.00033836320024547916,0.038102049962923185,3.403690392554502e-08,-3.239593229795275e-07,2.932455746476531e-07,-2.1084563781421573e-06,-3.0747612561059026e-09,4.427407028454388e-08,-3.768574850805234e-07,3.752639572884209e-07,7.896753669233084e-07,2.8985200067678914e-07,-5.911372882157963e-09,1.1253522590189698e-09,-5.911372882157963e-09,2.4986482941608745e-07,-1.5771132119925016e-07,1.1253522590189747e-09,-1.5771132119925016e-07,2.49964855964052e-07,1750894.6769672895,1.0042909945931876e-15,32.80694028147118,1.719936605399375e-05,0.9343576478607226,50,1.1503145344363194e-05,1.0
