R,Z,V_R,V_PHI,V_Z,V_T,a_r,a_phi,a_z,fg_r,fg_z,fr_r,fr_phi,fr_z,f_en,prr_hist,prphi_hist,prz_hist,pphir_hist,pphiphi_hist,pphiz_hist,pzr_hist,pzphi_hist,pzz_hist,rho,xi,fm,tau_dr,tau_uv,tau_x,dv_dr,escaped
424.52830188679246,1.0,0.0,0.04853406592853679,0.00033356409519815205,0.00033356409519815205,9.846124213811783e-09,-0.0,6.046286604668273e-08,-5.548595794487288e-06,-1.3070025649236724e-08,9.799943392457557e-09,-7.394423845828301e-08,7.353289169591945e-08,1.5519562064972494e-07,5.7309286948519583e-08,-1.6804245748807074e-09,3.5465172317214777e-10,-1.6804245748807074e-09,4.8924081758808687e-08,-3.081601765110012e-08,3.5465172317214963e-10,-3.081601765110012e-08,4.8962435898987435e-08,200000000.0,110.97397080121902,0.31020665673672904,0.0019646374256828097,0.44111792880943573,6.985609769140088,0.0001836508223015608,0.0
424.52830188679246,1.0,0.0,0.04853406592853679,0.00033356409519815205,0.04853521217179504,9.846124213811783e-09,-0.0,6.046286604668273e-08,-5.548595794487288e-06,-1.3070025649236724e-08,1.0208122923940027e-08,-7.70241056984305e-08,7.659562584437301e-08,1.616597065314547e-07,5.969628827694001e-08,-1.7504162970976279e-09,3.6942339770194885e-10,-1.7504162970976279e-09,5.096182911823631e-08,-3.209954217193179e-08,3.694233977019508e-10,-3.209954217193179e-08,5.100178075488434e-08,1374516.4776451623,212455.81527389487,0.015151006353239233,1.3502132570996973e-05,0.41534814589762575,4.408631477959092,1.2621624101813646e-06,0.0
424.52830188692235,1.000033357260938,1.299050937375315e-09,0.04853405494380521,0.00033357260937937186,0.04853520124583839,1.2990509373753152e-08,-1.0984731580839972e-07,8.514181219785147e-08,-5.548595791402931e-06,-1.3070461622223156e-08,1.0209145985682102e-08,-7.702951921128186e-08,7.660099657738564e-08,1.6167123638007808e-07,5.97006690731966e-08,-1.750587558270132e-09,3.694620371664106e-10,-1.750587558270132e-09,5.096540159116388e-08,-3.2101805665171366e-08,3.694620371664086e-10,-3.2101805665171366e-08,5.100535736518214e-08,1374516.7865585007,212455.7664222949,0.015220572596438593,1.3502135605510504e-05,0.41534814601457926,4.408631482782767,2.8759791197003504e-06,0.0
424.52830188718724,1.0000667154120444,2.648972753999226e-09,0.048534043525595365,0.00033358151106544507,0.048535189889078595,1.3499218166239114e-08,-1.1418209844011135e-07,8.901686073160716e-08,-5.5485957883148626e-06,-1.3070897606830726e-08,1.0209491607890517e-08,-7.702982111494796e-08,7.66012841382385e-08,1.6167203789114306e-07,5.970108820907003e-08,-1.7506426566548683e-09,3.694761607452805e-10,-1.7506426566548683e-09,5.096559204512682e-08,-3.210193891230125e-08,3.694761607452785e-10,-3.210193891230125e-08,5.100554930697185e-08,1374517.107671424,212455.7156513188,0.015222769661194936,1.350213875986284e-05,0.4153481461331182,4.408631487764587,2.9959502893441844e-06,0.0
424.52830188805035,1.0001334339184251,5.382196272042899e-09,0.048534020401315554,0.00033359957166174216,0.048535166889478766,1.3876744500329478e-08,-1.1742474502213146e-07,9.191480399631673e-08,-5.5485957821294926e-06,-1.3071769604820927e-08,1.0210154096257062e-08,-7.70302077807145e-08,7.660164332202582e-08,1.6167318519272237e-07,5.970175821008202e-08,-1.7507479218159801e-09,3.6950336763997217e-10,-1.7507479218159801e-09,5.096582928366097e-08,-3.210211491005103e-08,3.695033676399682e-10,-3.210211491005103e-08,5.1005789405015066e-08,1374517.75799728,212455.6128348328,0.015224302124998212,1.3502145148135417e-05,0.41534814637125556,4.408631497833005,3.0856945928367523e-06,0.0
424.5283018914421,1.0002668819366949,1.088606222166687e-08,0.048533973811789054,0.00033363599697523076,0.048535120551431846,1.2937422469206082e-08,-1.0953199314506612e-07,8.48556882673194e-08,-5.548595769712977e-06,-1.3073513744478614e-08,1.0211409141680122e-08,-7.70304527453004e-08,7.660183626257076e-08,1.6167437093388094e-07,5.970268880406427e-08,-1.7509464577184173e-09,3.695552516547902e-10,-1.7509464577184173e-09,5.0965954170552625e-08,-3.210224670413259e-08,3.695552516547902e-10,-3.210224670413259e-08,5.100591974191943e-08,1374519.0682358718,212455.40569253932,0.015220404052498525,1.3502158018854287e-05,0.41534814684880733,4.408631518092563,2.8671737301650406e-06,0.0
424.5283019045847,1.0005338200658909,2.179049695534132e-08,0.04853388142029659,0.0003337081406613199,0.048535028658104544,1.3597165116556821e-08,-1.1528127930740717e-07,8.999120363496479e-08,-5.548595744704888e-06,-1.307700257331412e-08,1.0214027118207592e-08,-7.703175347372029e-08,7.660302841129474e-08,1.616784445058767e-07,5.970517879046283e-08,-1.751362015887537e-09,3.6966292894684e-10,-1.751362015887537e-09,5.096674037895955e-08,-3.210284815768866e-08,3.6966292894684e-10,-3.210284815768867e-08,5.1006717267686393e-08,1374521.6665098206,212454.99489695145,0.015223296501575412,1.3502183542185496e-05,0.41534814780116475,4.408631558317368,3.0262215251641986e-06,0.0
424.52830195684584,1.001067868335936,4.3430344265986235e-08,0.04853369770598592,0.00033385146102677017,0.04853484593378184,1.3429044659527459e-08,-1.1415933323571737e-07,8.897848010059174e-08,-5.548595693974054e-06,-1.3083982476601025e-08,1.0219191324832291e-08,-7.703387391280632e-08,7.660491505998775e-08,1.6168558350933267e-07,5.970978752362664e-08,-1.7521824307520626e-09,3.6987605616234626e-10,-1.7521824307520626e-09,5.0967994465448835e-08,-3.21038504791538e-08,3.6987605616234776e-10,-3.2103850479153806e-08,5.100799375150212e-08,1374526.8328274607,212454.17804484937,0.015222752312217858,1.3502234291890441e-05,0.4153481497024959,4.408631638349132,2.994985198311797e-06,0.0
424.5283021643542,1.0021366488544727,8.634962425427691e-08,0.048533331883952764,0.00033413661943624347,0.04853448208280182,1.3320747260621383e-08,-1.1384571549052624e-07,8.8678930502402e-08,-5.54859558967802e-06,-1.309795121253408e-08,1.022955450409741e-08,-7.703818205297647e-08,7.660879348428234e-08,1.6170000842640195e-07,5.971906340251106e-08,-1.7538257138901531e-09,3.7030295129688707e-10,-1.7538257138901531e-09,5.097054685323431e-08,-3.2105882658526114e-08,3.7030295129688723e-10,-3.2105882658526114e-08,5.101059100426594e-08,1374537.1196418235,212452.55148241232,0.015222592443467884,1.3502335341192881e-05,0.4153481535013739,4.408631797716816,2.9859492988682646e-06,0.0
424.5283029865386,1.004276931090908,1.7100399673894887e-07,0.048532604503393806,0.00033470294089798803,0.048533758621919325,1.3097187861987165e-08,-1.131527728910952e-07,8.802118263416269e-08,-5.548595369873749e-06,-1.3125924209813461e-08,1.0250304980577427e-08,-7.704678284350158e-08,7.66165339377143e-08,1.61728848616237e-07,5.973762818448857e-08,-1.7571156025889598e-09,3.7115793517164726e-10,-1.7571156025889598e-09,5.097564023307289e-08,-3.2109938576958703e-08,3.711579351716492e-10,-3.21099385769587e-08,5.1015774239438426e-08,1374557.5708881752,212449.31734588678,0.015222237287376488,1.3502536237612803e-05,0.41534816109194755,4.4086321144652505,2.9660635263456613e-06,0.0
