R,Z,V_R,V_PHI,V_Z,V_T,a_r,a_phi,a_z,fg_r,fg_z,fr_r,fr_phi,fr_z,f_en,prr_hist,prphi_hist,prz_hist,pphir_hist,pphiphi_hist,pphiz_hist,pzr_hist,pzphi_hist,pzz_hist,rho,xi,fm,tau_dr,tau_uv,tau_x,dv_dr,escaped
530.1886792452831,1.0,0.0,0.043429494545081694,0.00033356409519815205,0.00033356409519815205,3.968034600746012e-09,-0.0,2.478168081482237e-08,-3.557433430099555e-06,-6.7097498859528965e-09,3.949051483651189e-09,-3.164776912663274e-08,3.1491430700775264e-08,6.636748831921017e-08,2.4432733725889665e-08,-6.063916056368429e-10,1.218792536312889e-10,-6.063916056368429e-10,2.0961444697071492e-08,-1.32158518306249e-08,1.218792536312889e-10,-1.32158518306249e-08,2.09732922073842e-08,200000000.0,6.868918921611887e-08,6.027700768767384,0.0019646374256828097,0.6487021906425681,27.74407291490079,7.523996398552971e-05,1.0
530.1886792452831,1.0,0.0,0.043429494545081694,0.00033356409519815205,0.043430775510539595,3.968034600746012e-09,-0.0,2.478168081482237e-08,-3.557433430099555e-06,-6.7097498859528965e-09,2.8544976709268704e-08,-2.2875995320901685e-07,2.2762989027027308e-07,4.797249203175622e-07,1.7660742536191433e-07,-4.38318779364099e-09,8.809812864307268e-10,-4.38318779364099e-09,1.5151586479630208e-07,-9.552830198849219e-08,8.809812864307268e-10,-9.552830198849219e-08,1.5160150229870975e-07,1536067.0153496584,0.0001174260073396871,6.044567528903577,1.5089073733564148e-05,0.6229533930244316,25.16919315308714,5.778701903097321e-07,1.0
530.1886792455646,1.0000333586097159,2.8150304775200898e-09,0.04342946946562256,0.0003335860971588171,0.04343075060080896,2.81503047752009e-08,-2.507945913320068e-07,2.2001960665011503e-07,-3.5574334288292615e-06,-6.7099737114810635e-09,1.1784602548076885e-07,-9.443914829596764e-07,9.397260937901731e-07,1.9804542096601183e-06,7.290920956560309e-07,-1.809565302480287e-08,3.637086772106693e-09,-1.809565302480287e-08,6.255040182531815e-07,-3.943703100323478e-07,3.637086772106693e-09,-3.943703100323478e-07,6.258575678802227e-07,1536067.8959955194,0.00011742593829762994,28.082096861101657,1.5089082384313234e-05,0.6229533932126107,25.169193167499163,7.709097215850033e-06,1.0
530.1886792467644,1.0000667245528605,1.1998961396317006e-08,0.04342938760560596,0.0003336594314462659,0.04343066930654302,9.183930918796917e-08,-8.186001659513409e-07,7.333428744889525e-07,-3.557433427546324e-06,-6.7101975861790704e-09,2.3263852928094265e-07,-1.8642561251591552e-06,1.855046232299463e-06,3.909478111670558e-06,1.4392534366586194e-06,-3.572233994992265e-08,7.179961223915564e-09,-3.572233994992265e-08,1.2347628463561705e-06,-7.784985710789752e-07,7.179961223915564e-09,-7.784985710789752e-07,1.2354607865912547e-06,1536070.7708619232,0.00011742571376773569,56.408810811825255,1.5089110624663888e-05,0.6229533936595256,25.16919320778366,2.53939129482622e-05,1.0
530.1886792544007,1.0001334984769812,5.769757582858858e-08,0.04342898022667108,0.00033402638121173315,0.043430264760363387,3.1274220475124425e-07,-2.7879933223340354e-06,2.513782620719403e-06,-3.5574334249084536e-06,-6.7106456174358415e-09,4.675333902888271e-07,-3.746365789388281e-06,3.727856678117601e-06,7.856413149656299e-06,2.892308498684224e-06,-7.179079411079023e-08,1.4429675227793293e-08,-7.179079411079023e-08,2.4813499497799146e-06,-1.5644532939299743e-06,1.4429675227793384e-08,-1.5644532939299743e-06,2.482752606697005e-06,1536085.0783487922,0.00011742459747778453,114.36704942163249,1.508925116978474e-05,0.6229533956636637,25.169193399377487,8.673530864856084e-05,1.0
530.1886793137808,1.0002674010250023,2.49189190468869e-07,0.04342727293310062,0.00033556719748682414,0.04342856939633331,6.999614491441921e-07,-6.240915507325421e-06,5.635495076147088e-06,-3.557433419026835e-06,-6.711544058192738e-09,7.337217347655877e-07,-5.878628525345088e-06,5.84958132263923e-06,1.2327982603658769e-05,4.538537662079195e-06,-1.1266349920317054e-07,2.264551808589594e-08,-1.1266349920317054e-07,3.893620188422389e-06,-2.4548717348034562e-06,2.264551808589572e-08,-2.4548717348034562e-06,3.89582146544532e-06,1536145.0422138702,0.0001174199208893326,180.027639276091,1.5089840206052345e-05,0.6229534037393091,25.169194189253442,0.0001942932416113012,1.0
530.1886797384788,1.0005376701771471,7.588401728809122e-07,0.04342272662574174,0.00033967205839484924,0.04342405514570229,7.996430618686778e-07,-7.13398908542178e-06,6.4430244788137e-06,-3.5574334030624456e-06,-6.713357461095067e-09,7.901323235631523e-07,-6.329037719952223e-06,6.297757287390109e-06,1.3272643643716949e-05,4.886396386436736e-06,-1.2132297660001328e-07,2.438735704587212e-08,-1.2132297660001328e-07,4.191936574220854e-06,-2.6429637561229847e-06,2.438735704587212e-08,-2.642963756122985e-06,4.194307141397455e-06,1536304.73039799,0.00011740746947954615,193.89515205527024,1.5091408852967148e-05,0.6229534250501025,25.169196284623,0.00022213551292746655,1.0
530.1886823298044,1.0010922639941122,1.6195784297832407e-06,0.04341502814038015,0.00034662113560317753,0.043416411842351524,5.379614105639553e-07,-4.811553350987795e-06,4.343173255205183e-06,-3.5574333472154343e-06,-6.717078508584101e-09,6.355463135036615e-07,-5.088221833463614e-06,5.063061285376769e-06,1.0670714340253791e-05,3.928617933515254e-06,-9.758268007397342e-08,1.9617375033696403e-08,-9.758268007397342e-08,3.3700933489804056e-06,-2.1248147296091255e-06,1.9617375033696155e-08,-2.124814729609126e-06,3.372000207194809e-06,1536575.1702390895,0.00011738638670558852,155.6816281324625,1.509406543413325e-05,0.6229534613280079,25.16919983910705,0.00014980791023329082,1.0
530.1886923037249,1.0022402902904304,3.116850176816101e-06,0.04340157833563879,0.00035875821759940267,0.04340306117312511,4.6789742094776895e-07,-4.20306398167722e-06,3.792838123820363e-06,-3.5574331697124707e-06,-6.724781015621791e-09,5.899676364914141e-07,-4.718391929396595e-06,4.695035792599101e-06,9.895492776779979e-06,3.6434672388945594e-06,-9.057683223921545e-08,1.8212996846286454e-08,-9.057683223921545e-08,3.125126311821995e-06,-1.9703898196918856e-06,1.8212996846286395e-08,-1.9703898196918856e-06,3.1268965762746783e-06,1537047.746377183,0.00011734956024647465,144.2856338313683,1.5098707637970163e-05,0.6229535250379964,25.1692060582313,0.00013088235858017832,1.0
530.1887306414337,1.0046865280277273,5.990267006427478e-06,0.04337556990127678,0.0003822246464526437,0.043377254360139055,4.4897137962677765e-07,-4.063817869064478e-06,3.6666295083189122e-06,-3.5574325620468174e-06,-6.741193018440002e-09,5.802692248775882e-07,-4.630541200953556e-06,4.607569025295481e-06,9.712011522806856e-06,3.576457079859629e-06,-8.907187426884049e-08,1.7918820076790437e-08,-8.907187426884049e-08,3.06690516747595e-06,-1.933732890262424e-06,1.7918820076790606e-08,-1.933732890262424e-06,3.0686466614589406e-06,1537961.9464877178,0.00011727837593369978,141.56430133659643,1.5107687996728765e-05,0.622953648507178,25.169218080955662,0.0001266065639765413,1.0
